label|text
ENFJ|Like Cicero, Erasmus believes that truth is furthered by a more harmonious relationship between interlocutors.
ENFJ|Erasmus' mode of dealing with ... controversy was that he would defend the man, but not judge his cause.
ENFJ|Where is there someone whose heart Erasmus does not occupy, whom Erasmus does not teach, over whom Erasmus does not hold sway?
ENFJ|Peace means an ascent ... to cooperation and common creativity among nations. ... Never before has the idea that peace is indivisible been so true as it is now.
ENFJ|I am one of those people whom nature has given ... 'leadership qualities.' ... My friends always trusted me.
ENFJ|We must think and act in life so as to rouse people to ... have faith in themselves.
ENFJ|Idealists make the world go 'round, since everything starts with ideas. Yes, ideas! Everything comes from them and everything begins there.
ENFJ|When Gorbachev entered the world stage, newspaper editors agreed that the rhetorician was charming and laughed easily, like Reagan.
ENFJ|A fundamental part of being a public servant is absorbing the anger of people who don't know where to turn.
ENFJ|I have found that with most people, candor generates trust. ... This approach has always worked for me.
ENFJ|Obama and I kind of balance each other. ... I am someone who will hug and touch people ... whereas he is not emotive that way. That's why we make such a good team.
ENFJ|Around the White House, Biden was known as 'the Republican whisperer': The person who knew the right combination of sympathy and gentleness - never force - needed to work with the minority.
ENFJ|I'm a teacher, I'm a convenor, I'm a gatherer. I'm someone who reaches out to people and is deeply interested in what they have to say.
ENFJ|I am understanding of needs and challenges and give tools to help other people succeed.
ENFJ|His talent for face-to-face connection is beyond words and logic, which may be why his opponents ... who can't manage it as effectively, mock him so viciously.
ENFJ|He has a gift for grasping what matters to people emotionally.
ENFJ|For Justin it's all about people and inspiration and motivation and getting people to ... feel good about things. ... He knows how to reach a room. He likes people and people like him.
ENFJ|With Africa I fear the judgment of future generations. ... I feel that judgment of the future alongside the now. It gives me urgency. It fills me with determination.
ENFJ|Both Princess Diana and I were, in our ways, manipulative people, perceiving quickly the emotions of others and able instinctively to play with them, all in the cause, of course, of the greater good.
ENFJ|Gordon Brown is a strange guy. Political calculation yes. Political feelings, no. Analytical intelligence, absolutely. Emotional intelligence, zero.
ENFJ|The point of my work is to ... make you more peaceful, more altruistic, and more emotionally balanced.
ENFJ|Science, however interesting, wasn't enough to give meaning to my life. ... I came to see research ... as an endless dispersion into detail.
ENFJ|In my work I was inspired through my readings of great figures like Martin Luther King Jr. and Mohandas Gandhi, who by the sheer strength of their human qualities were able to inspire others to change their way of being.
ENFJ|In a very real sense we have two minds, one that thinks and one that feels.
ENFJ|Knowing something is right 'in your heart' is a different order of conviction - a deeper kind of certainty - than thinking so with your rational mind.
ENFJ|Intelligent people have a sensitivity to others' concerns and the ability to act on that knowledge.
ENFJ|People should show each other that they are listening since feeling heard is ... exactly what the aggrieved person really is after.
ENFJ|Empathy is hearing the feelings behind what is being said.
ENFJ|Meanings are not determined by situations, but we determine ourselves by the meanings we give to situations.
ENFJ|What the world chiefly wants ... is community feeling.
ENFJ|It is out of my feeling of solidarity with others that my understanding of the need for human cooperation arose.
ENFJ|Adler was outgoing, buoyant and tactful. When potential arguments arose ... he strove to avoid confrontation and instead diplomatically sought to defuse tensions.
ENFJ|All men are in need of help and depend on one another. Human solidarity is the necessary condition for the unfolding of any one individual.
ENFJ|Immature love says: 'I love you because I need you.' Mature love says: 'I need you because I love you.'
ENFJ|When teaching students about empathy, Erich Fromm often cited Terence's statement from 2000 years ago: 'I am human and let nothing human be alien to me.'
ENFJ|The desire to reach the stars is ambitious. The desire to reach hearts is wise and most possible.
ENFJ|Human beings are more alike than we are unalike. Let us see that and ... cherish ... the differences. Because the differences are superficial ... they should delight us.
ENFJ|Try to introduce courtesy into your speech to each other. You have no idea what it will do for your brother or sister to whom you speak, and you surely have no idea what it will do for you.
ENFJ|She was charismatic and passionate, warm and wise, formidable without being forbidding.
ENFJ|The world knows her as a poet but at the heart of her, she was a teacher. 'When you learn, teach. When you get, give' is one of my best lessons from her.
ENFJ|We should all desire to contribute to the happiness of the community.
ENFJ|It would not be sensible always to say everything bluntly. ... What is needed is tact, instinct and good taste.
ENFJ|The truth is not simply what you think it is; it is also the circumstances in which it is said, and to whom, why, and how it is said.
ENFJ|The most important thing is not to lose sight of personal relationships.
ENFJ|Havel was eloquent ... and utterly charming. I found him enormously compelling.
ENFJ|We should not only teach people what science is and what it does, but also why it should mean something to them, and why it matters to society and everything that we hold dear.
ENFJ|When scientists do something like going to the moon, everybody knows about it. And everybody becomes a participant in some way. If not as an actual participant then as an emotional participant, because they embrace the idea.
ENFJ|By promoting science you stimulate an entire generation of people to make innovations that will transform the world and that will make tomorrow come.
ENFJ|We shall discover ourselves in peace more than we have with war and confrontation.
ENFJ|Heartbeat by heartbeat, hand by hand, we will build a new era.
ENFJ|We need to forge a human conscience that is more sensitive and responsible in assessing the efforts of man and the policies of nations.
ENFJ|His crackdowns on political rivals invariably gave way to deals, pledges of forgiveness and rounds of kisses.
ENFJ|He has a natural dramatic ability. ... With great skill, he adapts his style of speech and his message to his target audience.
ENFJ|To be a national socialist means to let the ego serve the neighbor, to sacrifice the self for the whole. In its deepest sense, socialism equals service. The individual refrains and the commonwealth commands.
ENFJ|Goebbels is the one of the senior Nazis who is the most like me as a human being.
ENFJ|Listening to his speech I felt as though he was addressing me personally. My heart grew light, something in my breast arose. It was as if something within me was being rebuilt.
ENFJ|Goebbels' favorite writers were Goethe and Dostoevsky.
ENFJ|You create your own reality by the way you think and therefore act. You cannot blame ... your circumstances, because you are not your circumstances. You are your possibilities.
ENFJ|I am happiest when I feel that people are getting something from me, learning something, enhancing themselves in a way that they never thought of before.
ENFJ|My fame isn't about me. I am the messenger to deliver the message of redemption, of hope, of forgiveness, of gratitude, of evolving people to the best of themselves.
ENFJ|In my work I wanted viewers to feel like they were eavesdropping on an intimate conversation each night.
ENFJ|It would be wonderful to become what Oprah has become: She is in such a class of her own. Like her I would love to show that television can have soul, depth and range.
ENFJ|He can lure you in - hard questions in a soft way.
ENFJ|He is a master at charming his subjects into revealing interesting pieces of information.
ENFJ|It's always struck me how we express what we feel about each other through food. Food obviously plays a very big part in many world religions. I think even the most prosaic or fact-led person can't help but feel aware of the symbolic value of food.
ENFJ|I think of myself as a very open person, but I'm also quite self-protective.
ENFJ|It's an amazing thing to think that ours is the first generation in history that really can end extreme poverty but we let our own pathetic excuses ... justify us. We have the ... wealth. What we don't have is the will, and that's not a reason that history will accept.
ENFJ|I'm not sure I can be as honest in my life as I can be in my music, because with manners comes insincerity. ... Truth is sometimes difficult.
ENFJ|He is charm itself. ... He greets you with a warmth you could dry damp clothes against.
ENFJ|Bono gives us a vision of how tomorrow can be better than today. He appeals to something greater than ourselves. ... He speaks about faith in a way that even a non-believer can embrace.
ENFJ|I've worked so hard to create characters that have dignity. And I think everybody knows that I have a very pro-woman message in my work - and in my life.
ENFJ|I get hugged a lot by fans. Which is fun. ... I like people. And at the end of the day, we're all just people. ... Nobody's life experience is all that much different than anyone else's.
ENFJ|She can radiate such warmth, charm, and humor ... and yet still maintain her mystique.
ENFJ|My feeling about why I like making films is you can come away from a film feeling so changed and touched. I really love that, the thought that I could be giving people a lot.
ENFJ|I always try and give as much as I can, rather than get as much as I can.
ENFJ|I love that people feel they can approach me.
ENFJ|I love Kate Winslet so much. ... Watching her I realize how great she is and how far I have to go.
ENFJ|I enjoy those small chats you have when people come up and talk to you about your work. It only involves a few seconds of effort to be nice to those people, and I am very grateful for the kind words.
ENFJ|When people think they've got you sussed that's actually a very good position to be in. They think they have got you sussed, but you've got plenty of room to maneuver.
ENFJ|I grew very frustrated with the perception that I'm this shy, retiring, inhibited aristocratic creature when I'm absolutely not. ... I think I'm much more outgoing and exuberant than my image.
ENFJ|I try to stay in a place of gratitude every day. In order to do that I think perspective is involved.
ENFJ|I love being in the center of the group, being a part of the group that's going through a creative process.
ENFJ|He's a very soulful person, a very open person.
ENFJ|There's nobody who's better liked.
ENFJ|I'm incredibly stubborn ... but I am very maternal too.
ENFJ|To others my acting looks emotionally straining, but I don't get emotionally drained, because I don't invest any of my real emotions.
ENFJ|I always know when I'm being lied to. ... It's okay to lie sometimes and to exaggerate, but I always know when people are doing it.
ENFJ|She knows how to handle all the attention in such an eloquent way.
ENFJ|She manages to exude a best-friend vibe even at a ... press conference ... with all eyes on her.
ENFJ|The greatest trait in a person is to put other people before yourself.
ENFJ|My job is all about getting inside another person's mind and thoughts.
ENFJ|I like everything perfect. Everything has to be neat. My sister is ... more messy than I am.
ENFJ|Dakota is a ray of sunshine and obviously wise beyond her years. ... She is so intuitive of other people.
ENFJ|My least favorite type of person is a 'selective asshole' - a person who's a jerk to some people and nice to other people.
ENFJ|You see these actors who've been famous for a long time, and they've grown like this rhino skin, emotionally. ... They can't relate to people in the same way anymore. ... They can't emote like they used to. And I never, ever want that to happen to me.
ENFJ|Andrew Garfield is an incredibly honest guy and a deeply feeling individual.
ENFJ|It seems no one is immune to her ... charm.
ENFJ|If I could be anyone for a day, I'd be Emma Stone.
ENFJ|She has an understanding of human beings. She can sense their sadness, sense that they need somebody, and then be that person.
ENFJ|I hope people think about other people and how they can relate to them.
ENFJ|You have to be kind to other people, talk to them and try to be friends.
ENFJ|I knew that those who predicted that no one would see my films would be wrong because ... I have a sense of where people are in the country.
ENFJ|I have a strong moral sense of social responsibility.
ENFJ|What's great about films is the communal experience of sitting in the dark with strangers and viewing something that's going to engage us.
ENFJ|When I participated in activism I felt more community based. ... I was part of a collective voice and not on my own as an artist. Something about that attracted me.
ENFJ|Noam Chomsky's books have helped me understand the nature of globalization and its effect on people and societies throughout the world.
ENFJ|I'm speaking toward a deeper sentiment that I feel and I know a lot of people feel. It has to do with redemptive moments that come in the face of some real indignity. That's the current that I'm trying to tap into.
ENFJ|Offstage he is the most gentle of souls you will ever meet. But ... on the stage, a fire erupts that consumes all who listen.
ENFJ|When you're talking about the thing that is most important to someone, they're liable to feel something strong.
ENFJ|James Lipton is the most penetrating and compassionate interviewer I've ever known.
ENFJ|James creates such a warm environment that you feel as though you're among friends.
ENFJ|I want to rescue everyone. ... I'd like everyone to be okay. I'd like to stop the suffering and discomfort in the world.
ENFJ|The only way to get past ... feelings of powerlessness and insignificance is by connecting with other people. ... I advise you to look for opportunities to connect ... and to participate in life.
ENFJ|In person he is charismatic ... theatrical, eloquent, and fervent.
ENFJ|I look for people with good hearts.
ENFJ|I have a need to be right. I am obsessed with a sense of justice in the world.
ENFJ|Pop stars: Please stop saying you don't want to be role models. Because, guess what: You are.
ENFJ|The way globalization and technology have been used isn't ... for the best. It hasn't brought us closer together. ... It's actually drawn us apart. ... Your responsibility as a human being ... has been lost a little bit.
ENFJ|I can be pretty persuasive if I believe in something strongly enough.
ENFJ|If everyone ... was half as nice and half as charming as Rashida Jones, the world would be such a better place.
INFJ|As a young man I reflected a lot about how society could be improved ... but I refrained from action.
INFJ|Here lies a high-minded man famed for temperance and moral virtue and the justice of his character.
INFJ|Plato was a sweet-voiced speaker ... pouring forth a prose as delicate as a lily.
INFJ|Plato is one of those who have come closest to the truth.
INFJ|As far as we can discern, the sole purpose of human existence is to kindle a light in the darkness of mere being.
INFJ|The creation of something new is not accomplished by the intellect but ... from inner necessity.
INFJ|Women are far more 'psychological' than men, who are usually satisfied with logic alone.
INFJ|I have always felt that there is something about my personality ... that people find ... repelling, whereas all hearts open to you.
INFJ|Every valuable human being must aim to make things better than they are.
INFJ|We must turn to the problems with which already thinkers like Buddha and Lao Tzu have been confronted, when trying to harmonize our position as spectators and actors in the great drama of existence.
INFJ|We must take a stand for an open world, with ... common enlightenment and mutual understanding.
INFJ|Bohr's personality and that of Jung show many similarities. They have both been labelled as mystics ... 'gurus' who inspire by personal contact.
INFJ|I find it difficult that ... a great man like Bohr cannot separate thinking from feeling.
INFJ|My life is an indivisible whole, and all my activities run into one another ... they all have their rise in my insatiable love of mankind.
INFJ|I pride myself on my yielding nature in non-vital matters.
INFJ|I am indeed a practical dreamer. ... I want to convert my dreams into realities as far as possible.
INFJ|Strength does not come from physical capacity. It comes from an indomitable will.
INFJ|In a gentle way, you can shake the world.
INFJ|The quality of the heart cannot come by an appeal to the brain.
INFJ|In stating rules ... I must not omit the important one of never entering into argument with another. I never saw an instance of disputants convincing each other by argument.
INFJ|Delay is preferable to error.
INFJ|Self-love ... leads us to violate our moral duties to others.
INFJ|I like the dreams of the future better than the history of the past.
INFJ|There was a too-good-for-this-world streak in Jefferson's character that showed itself in many ways, from his mountaintop house, to his dislike of face-to-face argument.
INFJ|One of the most misleading representational techniques in our language is the use of the word 'I'.
INFJ|He was of a sympathetic temperament and very kind, but also hypersensitive.
INFJ|His point of view and his attitude ... were much more similar to those of a creative artist than to those of a scientist; one might almost say, similar to those of a religious prophet or a seer.
INFJ|What struck me most ... was his radical passion for truthfulness in everything. ... I sometimes felt that he took a perverse pleasure in discovering falsehood in his own feelings and that he was constantly trying to purge himself of all fraud.
INFJ|Consider it: every person you have ever met ... is going to ... lose everything they love in this world. Why would one want to be anything but kind to them in the meantime?
INFJ|The conventional sense of self is an illusion. ... There are logical and scientific reasons to accept this claim, but recognizing it to be true is not a matter of understanding these.
INFJ|Bin Laden is giving a very plausible interpretation of Islam. He's not the Reverend Jim Jones of the Muslim world.
INFJ|In person Harris seems utterly placid, which is a surprise. Reading his book, you envision a firebrand.
INFJ|Even when he was young his passion was for deep philosophical questions, and he could talk for hours and hours. Sometimes you'd want to say to him, 'What about the Yankees?'
INFJ|If you quietly accept and go along no matter what your feelings are, ultimately you internalize what you're saying.
INFJ|Chomsky's morally impassioned ... denunciation of American aggression ... is the most moving political document I have read since ... Trotsky.
INFJ|Chomsky is amongst the greatest thinkers of the West.
INFJ|Far from being some sort of brutal, domineering, 'alpha-male' ... Chomsky ... is one of the most soft-spoken and unfailingly civil ... political advocates on the planet.
INFJ|One would be hard-pressed to find someone as prominent as he who is as steadfastly polite and considerate.
INFJ|Consider your origins; you were not meant to live as brutes, but to follow virtue and knowledge.
INFJ|I have a prophetic spirit.
INFJ|I saw within the depths how the one conceives all things in a single volume bound by Love, of which the universe is the scattered leaves.
INFJ|Dante has not deigned to take his inspiration from any other. He has wished to be himself, himself alone. ... He has a sublime mind. He is ... gracious. He has imagination, warmth, and enthusiasm.
INFJ|Dante got his ideas from the same archetypes that influenced me.
INFJ|One's life has value so long as one attributes value to the life of others.
INFJ|For me the most important thing is to ... shape minds and souls.
INFJ|At every moment ... the truth comes to light; the truth of life and death, of my solitude and my bond with the world, of my freedom and my servitude, of the insignificance and the sovereign importance of each man and all men. ... We must accept our fundamental ambiguity.
INFJ|De Beauvoir's 'The Second Sex' is brilliant.
INFJ|Her philosophy spoke of authenticity, and difficult choices.
INFJ|A woman who doesn't lie is a woman without imagination and without sympathy.
INFJ|Very few of us are what we seem.
INFJ|Everything that has existed, lingers in the Eternity.
INFJ|Dogs are wise. They crawl away into a quiet corner and lick their wounds and do not rejoin the world until they are whole once more.
INFJ|Jung had little use for most modern literature, but apparently was a fan of Agatha Christie.
INFJ|I am a strange compound of weakness and resolution!
INFJ|In how many ways do I wish, from the purest benevolence, to impress my truth on the world.
INFJ|People of sensibility doubt whether the expansion of intellect produces a greater portion of happiness or misery.
INFJ|Rousseau celebrates barbarism. ... Had he mounted one step higher in his investigation ... he would have contemplated the perfection of man in ... true civilization, instead of taking his ferocious flight back to the night of sensual ignorance.
INFJ|She was a woman singularly original in thought and noble in character.
INFJ|Man's highest good is common to all.
INFJ|I have labored carefully, not to mock or lament ... but to understand human actions.
INFJ|How much do I love Spinoza ... more than I could tell with words.
INFJ|Spinoza is very very good-natured ... and doesn't think at all like a rationalist.
INFJ|Spinoza is the noblest and most lovable of the great philosophers. Intellectually, some others have surpassed him, but ethically he is supreme.
INFJ|There is an underlying unity in all things.
INFJ|Schopenhauer had an almost Buddhist gentleness.
INFJ|Already as a teenager Schopenhauer could distance himself and view things from a cosmic perspective.
INFJ|Schopenhauer displays an introverted nature.
INFJ|One day people ... will build monuments to Schopenhauer!
INFJ|My vocation is to forward the recognition and the realization of the ideals of humanity.
INFJ|Nothing can make our life, or the lives of other people, more beautiful than perpetual kindness.
INFJ|The striving of men's souls towards unity, and the submissive behavior to one another that results therefrom, represents the highest ... law of life.
INFJ|Is it only Schopenhauer and I who are wise enough to understand the senselessness and evil of life?
INFJ|He was ... Russia's greatest moral authority, and his teachings ... have inspired Gandhi, Martin Luther King, Jr. and countless others.
INFJ|I have seen the truth; I have seen and I know that people can be beautiful and happy. ... I will not and cannot believe that evil is the normal condition of mankind.
INFJ|Nothing in this world is harder than speaking the truth, nothing easier than flattery.
INFJ|The only person who ever taught me anything about psychology was Dostoevsky.
INFJ|Huxley says that when we read Jung's books, we feel that his intuitive understanding of the human being is as profound as Dostoevsky's.
INFJ|Dostoevsky is my favourite author! He teaches us how to be Christians.
INFJ|Dostoevsky is ahead of his time.
INFJ|I hate to disappoint people.
INFJ|Nietzsche ... doesn't have the same crystal-clear understanding as Schopenhauer.
INFJ|He was respectful, even diffident ... and very careful to adhere to the forms of address.
INFJ|The secret to Hitler's power is ... that his unconscious has exceptional access to his conscious.
INFJ|Hitler responds to the vibration of the human heart with the delicacy of a seismograph.
INFJ|There is a mystical path that one must walk if one is to become the Perfect Man who will guide society toward perfection through right policies and a government of absolute justice.
INFJ|Plato was known for the same Oneness and divine wisdom that influenced me.
INFJ|Khomeini has a mythical dimension and mysterious link with the people. He is is not a politician, but an almost mythical personality.
INFJ|Khomeini lived quietly and conducted rather unusual studies of philosophy and mysticism.
INFJ|Reciprocal treatment is a part of justice.
INFJ|Friends and teachers remember bin Laden as being introverted and courteous. Far from being inherently violent, he ... avoided confrontation.
INFJ|He was a mystery to his cousins, yet we all liked him because he was very quiet and gentle in his manners.
INFJ|He was proud, but not arrogant. He was delicate, but not weak. He was grave, but not severe.
INFJ|My life was rather full of 'adventures.' However, by natural inclination, I have nothing in common with seekers after adventure. ... I like and appreciate discipline and system.
INFJ|Watching the workmen where I grew up I had an intense realization of the complicated mechanics of their relations.
INFJ|There is a natural coarseness to many aspects of human relationships.
INFJ|The feeling of the supremacy of ... theory over personal experience took root in my mind at an early age and gained increasing strength as the years advanced.
INFJ|We must strive to make China a lighthouse for mankind. ... To advance peace and happiness for all mankind. ... We do so with the great moral ideas our people possess.
INFJ|We must all be of one mind. ... Victory or defeat depends on the spirit shown.
INFJ|If you sympathize with civilians in their sufferings ... then soldiers and civilians will form a closely knit body. ... There will be no cause for traitors to spring up, and the enemy will meet with defeat everywhere.
INFJ|Chiang was shy but emotional. ... He thought of himself as moral and sincere... and he was motivated ... by a vision of a unified ... China.
INFJ|I urge you ... to join me in a new pledge to forget our grim past, forgive others and forget, join hands in a new amity, together.
INFJ|Bush rode roughshod over the U.N. and international opinion. ... Yet he dares lecture the world on tyranny. ... He should mend his ways before he clambers up the pulpit to deliver pieties of democracy.
INFJ|An introspective child ... he began to adopt a lofty attitude towards his siblings and fellow students.
INFJ|He had unusual gravitas ... an exceptional mind and an exceptional heart.
INFJ|Tame your soul, purify it, convince it, make it understand, and incite it.
INFJ|Mohamed was an incredible human being. ... He could not have a black spot in his character. He was so solid and pure, good to the roots.
INFJ|The overriding impression is one of a reserved and gentle man.
INFJ|He was almost like an angel ... in his politeness and shyness. ... He was soft-spoken.
INFJ|Bin Laden personally chose Atta to lead the group.
INFJ|I take a lot of responsibility, practically no matter who I'm with. Even for an interview to go well. ... I am very polite and well-mannered. Pretty shy of conflict, actually. ... But deep down I don't like my polite side.
INFJ|Disparaging people has become a hero role to me where I think I do it on behalf of what I believe to be just.
INFJ|Hitler's not what you would call a good guy, but I understand much about him, and I sympathize with him a little bit.
INFJ|The plots of my movies are fairly obvious. But the characters process the information from a singular, subjective point of view. And that becomes the subtext.
INFJ|As much as people pretend to fit in ... there is always ... that sense of loneliness ... of not fitting in or being out of depth.
INFJ|In Fincher's version of the world, the heroes often fuse with the villains, creating ... ambiguity.
INFJ|He's capable of taking any point of view and dismantling it until he comes to the conclusion that, for him, makes perfect sense.
INFJ|My songs have to have a kind of balance of truth and lies, light and dark.
INFJ|I think that we have a natural affinity for each other and we are all deeply connected, but we get into this illusion that we are separate, alone, abandoned. This ... produces suffering.
INFJ|We have to transcend the side we're on and understand that we are creatures of a higher order.
INFJ|He has gentle humility and a gentlemanly poise ... openness and kindness to strangers, and a fantastic eloquence, wisdom and humor.
INFJ|I have the idealism to start a revolution.
INFJ|The name Marilyn Manson is about male and female, beauty and ugliness. ... It's about the paradox and diametrically opposed archetypes.
INFJ|I incorporate a lot of philosophies into what I'm about, including Christianity. ... I try to open people's minds to the fact that there are different ways of looking at things.
INFJ|I'm definitely very shy. People believe that artists are extroverted ... but that is not true in all cases.
INFJ|You don't want to say the wrong thing. I've seen people hurt for years over something that was unnecessary and didn't have to be said.
INFJ|I see good and bad in all of us.
INFJ|My first language was shy. It's only by having been thrust into the limelight that I have learned to cope with my shyness.
INFJ|There are times when I have a temperament. Yes, my temperament is there ... but I hope I'm gentle. Yes, I think I am.
INFJ|He has tremendous gravitas and he's incredibly polite.
INFJ|My chief goal is to find a way to make what I do meaningful to other people.
INFJ|Very often there's this misapprehension about actors being people that need to display themselves, to reveal themselves in public. The paradox is that very often it's the sense of losing yourself in that public situation which is the drug.
INFJ|It's very hard to explain what I do, even to myself. It's a paradox. Given the chance to enter into areas of one's soul ... there's great joy in the exploration of that.
INFJ|Day-Lewis is a bit shy and soft-spoken in person - endearingly so - but warm and affable and exquisitely courteous.
INFJ|His demeanor is courtly ... and has a quality of grace.
INFJ|I project myself into the given circumstances by using my ... empathic talent ... for understanding how other people express their emotions.
INFJ|Everybody goes through certain experiences and, if you're lucky, even with the worst things, you come out of them and they induce in you an altered perspective on the relative importance of things.
INFJ|'Mountains Beyond Mountains'
INFJ|I've spent a lifetime understanding and connecting to emotions - not only my own, but those of other people.
INFJ|I enjoy creating illusions and pulling the wool over people's eyes.
INFJ|Acting is definitely the closest thing to a real spiritual experience that I can describe. It's like I connect to the emotional state of another being that's other than my own and that is very freeing.
INFJ|A little bit of attention and kindness can totally change a whole life, and a lack of that can do the same.
INFJ|He is highly empathic.
INFJ|I think it's a myth that actors are all extroverts. I don't think that's true. I think something happens in those five seconds before you walk on stage.
INFJ|I am observant of other people's emotional states.
INFJ|When my father died I saw it from other people's perspective. I could see that my sister was so young, and I felt it was tragic that she might not remember him. I could see how it affected my brother and I saw what a struggle it was for my mother. I thought about my father and how sad it was that he never had grandchildren.
INFJ|I don't exist in that world. I observe it.
INFJ|She is cordial and cooperative.
INFJ|I always felt a little like an outsider looking in.
INFJ|There are participants in life and there are observers, and I've always been an observer.
INFJ|The more prepared I am, the more I'm able to kind of let go.
INFJ|I'm very stubborn. ... I'm probably at times a bit tunnel-visioned, but I'm strong.
INFJ|I have a pretty vivid imagination.
INFJ|I'm kind of obsessive and a perfectionist.
INFJ|I can understand wanting to be invisible and mistrusting people and wanting to understand everything before you engage with the world.
INFJ|I'm someone who overthinks everything and really needs to investigate every part of something before I'm ready to do it.
INFJ|It's easy to let people walk all over you ... because you don't want to be difficult.
INFJ|Most of my characters have been emotionally articulate.
INFJ|I was quite straight-laced and academic.
INFJ|She has a warm gaze with laser intensity.
INFJ|She is a watchful Miss Marple in the guise of a limpid ingenue.
INFJ|I walk through the world as an observer of life and of people.
INFJ|I spend half my time just living my life, and the other half analyzing it.
INFJ|I've got a real dark side. I'm very drawn to darkness. If I were given a choice between two films and one was dark and explored depraved and sick aspects of our culture, I would always opt for that.
INFJ|Schwimmer's favorite author is Fyodor Dostoevsky.
INFJ|Obsessive worry and guilt are universal feelings.
INFJ|The people in my movie have legitimate problems, and they learn to shift their perspective and find grace in the middle of those problems.
INFJ|I accidentally read a book Alicia Silverstone gave me ... and that turned me into a vegetarian for about two years.
INFJ|Each of us is leading a difficult life, and when we meet people we are seeing only a tiny part of the thinnest veneer of their complex, troubled existences.
INFJ|To practice anything other than kindness towards others, to treat them in any way save generously, is to quietly deny their humanity.
INFJ|I have retained a belief that it is the popular sporty kids at school who grow up to have the least interesting lives, and the unhappy young souls who develop into the most extraordinary adults. ... Hold on, misfits, your day will come.
INFJ|When I was younger, I was actually an extremely shy person.
INFJ|The more prepared I am, the less fear I have.
INFJ|Wouldn't it be nice to have someone in your corner that would remove the weight of the world from your shoulders?
INFJ|When you start looking at women as 'targets', do you lose any intellectual respect?
INFJ|He is a sexual Yoda.
INFJ|I find fascinating the question, 'How do we identify ourselves, and how do we settle into other people's expectations for our identity?'
INFJ|I think people do what they can. Everyone's doing their best in life.
INFJ|My character Gabriel's rationale is essentially, 'My job is to get as many souls as possible to heaven, and I have noticed that you are at your most spiritually open when the place is in flames, so I'm going to torch the joint.' It's a beautiful piece of reasoning.
INFJ|When you go through your day ... you can make a decision to be kind, to greet people kindly ... and connect, or you can make a decision to be mean, and every decision you make has these ripples.
INFJ|Archetypal elements come up again and again in my songs, but it's not intentional ... it's just what I view as an accurate reflection of real life on this planet.
